x:2147257776, y:2147249234
x:2147218520, y:2147219015
x:2147248599, y:2147257576
x:2147269700, y:2147279116
x:2147249304, y:2147249467
x:2147228405, y:2147219435
x:2147297729, y:2147258025
x:2147228469, y:2147228039
x:2147298428, y:2147237747
x:2147299535, y:2147248957
x:2147257747, y:2147279081
x:2147349352, y:2147248193
x:2147309674, y:2147229316
x:2147349694, y:2147288701
x:2147309553, y:2147299119
x:2147358128, y:2147288502
x:2147328078, y:2147258017
x:2147347957, y:2147299014
x:2147339660, y:2147239490
x:2147369437, y:2147248797
x:2147388227, y:2147278135
x:2147378393, y:2147229232
x:2147379250, y:2147218681
x:2147339172, y:2147228538
x:2147359308, y:2147219012
x:2147338877, y:2147258145
x:2147378331, y:2147278897
x:2147308972, y:2147219214
x:2147308512, y:2147268028
x:2147308994, y:2147239331
x:2147319067, y:2147228459
x:2147378811, y:2147237927
x:2147389208, y:2147287740
x:2147387800, y:2147258153
x:2147339615, y:2147268713
x:2147318968, y:2147278097
x:2147318640, y:2147239321
x:2147348880, y:2147268418
x:2147339492, y:2147278821
x:2147449105, y:2147267787
x:2147439023, y:2147238714
x:2147449002, y:2147237863
x:2147409511, y:2147229296
x:2147419381, y:2147229182
x:2147438342, y:2147218825
x:2147478599, y:2147287649
x:2147469540, y:2147238534
x:2147399192, y:2147238122
x:2147469693, y:2147249366
x:2147398760, y:2147218202
x:2147409090, y:2147268877
x:2147449540, y:2147278553
x:2147419643, y:2147279443
x:2147418850, y:2147259590
x:2147429412, y:2147228807
x:2147477580, y:2147258970
x:2147458340, y:2147279363
x:2147469255, y:2147269073
x:2147399182, y:2147298218
x:2147408373, y:2147218683
x:2147459387, y:2147299162
x:2147468626, y:2147289142
x:2147458175, y:2147227856
x:2147408496, y:2147299010
x:2147409499, y:2147248427
x:2147438952, y:2147298027
x:2147469622, y:2147228702
x:2147429505, y:2147268239
x:2147447702, y:2147228037
x:2147418046, y:2147298224
x:2147467655, y:2147258712
x:2147427961, y:2147258729
x:2147398820, y:2147257805
